Agency;Distribution;Industry;LOB;Master Agency;Office;Pol Eff Yrmo;Pol Proc Yrmo;POL_EFF_Yr;Policy ID;Risk State;Snapshot Date;F23;Issues;New Issued Premium;Number of Records;Quotes;Rateable Manual Premium;Rateable Manual Schedule Premium
L4;Agency Plant;Finance & Insurance;BOP;Master Agent L;SE;1.05.2019;1.11.2019;2019;21721253;CA;12/31/2019;456;0;;1;1;2616;2772,96
J6;Agency Plant;Transportation;BOP;Master Agent J;SE;1.09.2019;1.10.2019;2019;35493590;VA;12/31/2019;;0;;1;1;4010;4050,1
M3;Agency Plant;Retail Trade;BOP;Master Agent M;SE;1.05.2019;1.09.2019;2019;26032345;NC;12/31/2019;;0;;1;1;5355;5836,95
S6;Agency Plant;Wholesale Trade;WC;Master Agent S;WE;1.12.2019;1.12.2019;2019;1523969;FL;12/31/2019;;1;8807,8;1;1;9370;8807,8
N/A;Direct;Restaurants;BOP;N/A;NE;1.12.2019;1.11.2019;2019;102584329;MS;12/31/2019;;0;;1;1;2988;2539,8
X2;Agency Plant;Construction;BOP;Master Agent X;SE;1.10.2019;1.11.2019;2019;72122788;NY;12/31/2019;;0;;1;1;9492;7403,76
P1;Agency Plant;Technology;BOP;Master Agent P;SE;1.05.2019;1.12.2019;2019;44213845;UT;12/31/2019;;0;;1;1;1050;987
A7;Agency Plant;Finance & Insurance;WC;Master Agent A;CE;1.07.2019;1.10.2019;2019;49902775;AR;12/31/2019;;1;3660;1;1;3660;3660
N/A;Direct;Wholesale Trade;WC;N/A;SE;1.06.2019;1.04.2019;2019;495383;ME;12/31/2019;;0;;1;1;2040;1672,8
N/A;Other;Retail Trade;WC;N/A;NE;1.08.2019;1.12.2019;2019;5494375;PA;12/31/2019;;0;;1;1;2399;2039,15
N/A;Other;Restaurants;WC;N/A;SE;1.09.2019;1.10.2019;2019;29842792;CA;12/31/2019;;1;9386,9;1;1;10915;9386,9
T5;Agency Plant;Technology;BOP;Master Agent T;SE;1.10.2019;1.02.2019;2019;11435839;NC;12/31/2019;;1;1531,71;1;1;1647;1531,71
L3;Agency Plant;Restaurants;WC;Master Agent L;CE;1.11.2019;1.10.2019;2019;4103697;MD;12/31/2019;;1;12883,64;1;1;14476;12883,64
